index,img_path,img_pathE,img_pathQ,predEQ,label,embedE,embedQ
0_16,../new_data/style:america/16.jpg,../new_data/cut_style:america/0_16_E_.jpg,../new_data/cut_style:america/0_16_Q_.jpg,[0.00449982 0.00327943 0.05174787 ... 0.         0.         0.11187635],1,[0.00449982 0.00327943 0.05174787 ... 0.01093987 0.00187285 0.2651155 ],[0.01357076 0.         0.06246633 ... 0.         0.         0.11187635]
0_20,../new_data/style:america/20.jpg,../new_data/cut_style:america/0_20_E_.jpg,../new_data/cut_style:america/0_20_Q_.jpg,[0.         0.         0.01424136 ... 0.         0.         0.01581293],1,[0.         0.         0.01424136 ... 0.         0.         0.05404138],[0.01034757 0.         0.07669318 ... 0.         0.         0.01581293]
0_22,../new_data/style:america/22.jpg,../new_data/cut_style:america/0_22_E_.jpg,../new_data/cut_style:america/0_22_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.07528459],1,[0.         0.         0.         ... 0.         0.         0.00752017],[0.04148697 0.         0.0362773  ... 0.         0.         0.07528459]
0_23,../new_data/style:america/23.jpg,../new_data/cut_style:america/0_23_E_.jpg,../new_data/cut_style:america/0_23_Q_.jpg,[0.         0.         0.         ... 0.13361938 0.00680338 0.00785729],1,[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.13061424 ... 0.13361938 0.00680338 0.00785729]
0_24,../new_data/style:america/24.jpg,../new_data/cut_style:america/0_24_E_.jpg,../new_data/cut_style:america/0_24_Q_.jpg,[0.         0.         0.00740891 ... 0.         0.05051183 0.16197887],1,[0.         0.         0.00740891 ... 0.         0.         0.04455307],[0.10760991 0.         0.1659266  ... 0.         0.05051183 0.16197887]
0_26,../new_data/style:america/26.jpg,../new_data/cut_style:america/0_26_E_.jpg,../new_data/cut_style:america/0_26_Q_.jpg,[0.0070726  0.05978075 0.         ... 0.         0.27064732 0.09178126],1,[0.0070726  0.05978075 0.         ... 0.05933652 0.00507426 0.04673884],[0.0075534  0.         0.04155982 ... 0.         0.27064732 0.09178126]
0_27,../new_data/style:america/27.jpg,../new_data/cut_style:america/0_27_E_.jpg,../new_data/cut_style:america/0_27_Q_.jpg,[0.         0.         0.18275896 ... 0.         0.         0.00249586],1,[0.         0.         0.18275896 ... 0.00801714 0.         0.02194698],[0.0324927  0.         0.2784634  ... 0.         0.         0.00249586]
0_30,../new_data/style:america/30.jpg,../new_data/cut_style:america/0_30_E_.jpg,../new_data/cut_style:america/0_30_Q_.jpg,[0.03545894 0.         0.01219574 ... 0.01898691 0.         0.00119222],1,[0.03545894 0.         0.01219574 ... 0.14502634 0.         0.01619638],[0.04882144 0.00154987 0.06936908 ... 0.01898691 0.         0.00119222]
0_34,../new_data/style:america/34.jpg,../new_data/cut_style:america/0_34_E_.jpg,../new_data/cut_style:america/0_34_Q_.jpg,[0.         0.         0.         ... 0.         0.13256307 0.01390213],1,[0. 0. 0. ... 0. 0. 0.],[0.02316362 0.         0.15384066 ... 0.         0.13256307 0.01390213]
0_36,../new_data/style:america/36.jpg,../new_data/cut_style:america/0_36_E_.jpg,../new_data/cut_style:america/0_36_Q_.jpg,[0.00654405 0.00697556 0.         ... 0.00495864 0.         0.0518359 ],1,[0.00654405 0.00697556 0.         ... 0.         0.         0.00274256],[0.00826473 0.         0.59042716 ... 0.00495864 0.         0.0518359 ]
0_39,../new_data/style:america/39.jpg,../new_data/cut_style:america/0_39_E_.jpg,../new_data/cut_style:america/0_39_Q_.jpg,[0.         0.         0.         ... 0.         0.16362818 0.00888785],1,[0.         0.         0.         ... 0.         0.02101992 0.        ],[0.03709218 0.         0.30966094 ... 0.         0.16362818 0.00888785]
0_40,../new_data/style:america/40.jpg,../new_data/cut_style:america/0_40_E_.jpg,../new_data/cut_style:america/0_40_Q_.jpg,[0.         0.         0.07159457 ... 0.         0.         0.03816958],1,[0.         0.         0.07159457 ... 0.06435336 0.02148    0.04708789],[0.08344303 0.         0.0103384  ... 0.         0.         0.03816958]
0_41,../new_data/style:america/41.jpg,../new_data/cut_style:america/0_41_E_.jpg,../new_data/cut_style:america/0_41_Q_.jpg,[0.         0.         0.05823343 ... 0.         0.06303206 0.01006111],1,[0.         0.         0.05823343 ... 0.         0.         0.12374363],[0.00027469 0.         0.         ... 0.         0.06303206 0.01006111]
0_44,../new_data/style:america/44.jpg,../new_data/cut_style:america/0_44_E_.jpg,../new_data/cut_style:america/0_44_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.02517852],1,[0.         0.         0.         ... 0.         0.         0.04866613],[0.00587963 0.         0.06207713 ... 0.         0.         0.02517852]
0_45,../new_data/style:america/45.jpg,../new_data/cut_style:america/0_45_E_.jpg,../new_data/cut_style:america/0_45_Q_.jpg,[0.         0.         0.15176971 ... 0.         0.18383168 0.02709797],1,[0.         0.         0.15176971 ... 0.         0.         0.35100392],[0.13315691 0.         0.13815199 ... 0.         0.18383168 0.02709797]
0_46,../new_data/style:america/46.jpg,../new_data/cut_style:america/0_46_E_.jpg,../new_data/cut_style:america/0_46_Q_.jpg,[0.         0.         0.01637832 ... 0.         0.         0.11207107],1,[0.         0.         0.01637832 ... 0.         0.01480225 0.14264435],[0.04898129 0.         0.08095824 ... 0.         0.         0.11207107]
0_47,../new_data/style:america/47.jpg,../new_data/cut_style:america/0_47_E_.jpg,../new_data/cut_style:america/0_47_Q_.jpg,[0.         0.         0.11516053 ... 0.         0.00597459 0.0563032 ],1,[0.         0.         0.11516053 ... 0.         0.04110334 0.0770901 ],[0.05247065 0.         0.01356559 ... 0.         0.00597459 0.0563032 ]
0_48,../new_data/style:america/48.jpg,../new_data/cut_style:america/0_48_E_.jpg,../new_data/cut_style:america/0_48_Q_.jpg,[0.         0.01100714 0.10343492 ... 0.00125153 0.         0.08000246],1,[0.         0.01100714 0.10343492 ... 0.00954022 0.         0.05817465],[0.13916315 0.         0.1546471  ... 0.00125153 0.         0.08000246]
0_49,../new_data/style:america/49.jpg,../new_data/cut_style:america/0_49_E_.jpg,../new_data/cut_style:america/0_49_Q_.jpg,[0.08199791 0.         0.07616261 ... 0.25329915 0.0026589  0.02033713],1,[0.08199791 0.         0.07616261 ... 0.01640323 0.08068776 0.52074593],[0.07762108 0.         0.04609844 ... 0.25329915 0.0026589  0.02033713]
0_50,../new_data/style:america/50.jpg,../new_data/cut_style:america/0_50_E_.jpg,../new_data/cut_style:america/0_50_Q_.jpg,[0.0051927  0.         0.18570922 ... 0.         0.00901591 0.05493969],1,[0.0051927  0.         0.18570922 ... 0.         0.36924702 0.48769253],[0.         0.         0.08987738 ... 0.         0.00901591 0.05493969]
0_51,../new_data/style:america/51.jpg,../new_data/cut_style:america/0_51_E_.jpg,../new_data/cut_style:america/0_51_Q_.jpg,[0.0118542  0.         0.05245856 ... 0.03023211 0.         0.13475038],1,[0.0118542  0.         0.05245856 ... 0.02349877 0.         0.12500176],[0.         0.00110463 0.32485905 ... 0.03023211 0.         0.13475038]
0_52,../new_data/style:america/52.jpg,../new_data/cut_style:america/0_52_E_.jpg,../new_data/cut_style:america/0_52_Q_.jpg,[0.08175788 0.         0.13251393 ... 0.00392158 0.01921504 0.07580364],1,[0.08175788 0.         0.13251393 ... 0.         0.11069462 0.00136621],[0.06563745 0.         0.781638   ... 0.00392158 0.01921504 0.07580364]
0_53,../new_data/style:america/53.jpg,../new_data/cut_style:america/0_53_E_.jpg,../new_data/cut_style:america/0_53_Q_.jpg,[0.0573236  0.         0.08123448 ... 0.         0.0523641  0.19886272],1,[0.0573236  0.         0.08123448 ... 0.01831592 0.00820707 0.06006464],[0.28874317 0.         0.21073711 ... 0.         0.0523641  0.19886272]
0_56,../new_data/style:america/56.jpg,../new_data/cut_style:america/0_56_E_.jpg,../new_data/cut_style:america/0_56_Q_.jpg,[0.0020808  0.         0.02963772 ... 0.03109471 0.01380241 0.08613471],1,[0.0020808  0.         0.02963772 ... 0.00830388 0.         0.08217695],[0.31276459 0.         0.01786144 ... 0.03109471 0.01380241 0.08613471]
0_57,../new_data/style:america/57.jpg,../new_data/cut_style:america/0_57_E_.jpg,../new_data/cut_style:america/0_57_Q_.jpg,[0.00595438 0.         0.         ... 0.04249863 0.00115322 0.04923353],1,[0.00595438 0.         0.         ... 0.         0.00651265 0.00893797],[0.08341016 0.         0.         ... 0.04249863 0.00115322 0.04923353]
0_59,../new_data/style:america/59.jpg,../new_data/cut_style:america/0_59_E_.jpg,../new_data/cut_style:america/0_59_Q_.jpg,[0.         0.01861663 0.09726401 ... 0.         0.04160592 0.        ],1,[0.         0.01861663 0.09726401 ... 0.         0.02510022 0.24268891],[0.04163272 0.01097826 0.25432354 ... 0.         0.04160592 0.        ]
0_60,../new_data/style:america/60.jpg,../new_data/cut_style:america/0_60_E_.jpg,../new_data/cut_style:america/0_60_Q_.jpg,[0.01456076 0.01061649 0.32846832 ... 0.         0.09669204 0.02834565],1,[0.01456076 0.01061649 0.32846832 ... 0.         0.03914126 0.23087896],[0.00679378 0.         0.1010901  ... 0.         0.09669204 0.02834565]
0_62,../new_data/style:america/62.jpg,../new_data/cut_style:america/0_62_E_.jpg,../new_data/cut_style:america/0_62_Q_.jpg,[0.         0.         0.         ... 0.         0.00551864 0.05449513],1,[0.         0.         0.         ... 0.         0.01182683 0.09762489],[0.00510687 0.00141582 0.25145087 ... 0.         0.00551864 0.05449513]
0_63,../new_data/style:america/63.jpg,../new_data/cut_style:america/0_63_E_.jpg,../new_data/cut_style:america/0_63_Q_.jpg,[0.         0.         0.23365413 ... 0.         0.02147008 0.01737894],1,[0.         0.         0.23365413 ... 0.09970228 0.         0.31877425],[0.06699625 0.         0.03157052 ... 0.         0.02147008 0.01737894]
0_64,../new_data/style:america/64.jpg,../new_data/cut_style:america/0_64_E_.jpg,../new_data/cut_style:america/0_64_Q_.jpg,[0.         0.0183607  0.01324732 ... 0.01432958 0.06626891 0.63812965],1,[0.         0.0183607  0.01324732 ... 0.0052693  0.         0.14126821],[0.40222365 0.         0.18474312 ... 0.01432958 0.06626891 0.63812965]
0_65,../new_data/style:america/65.jpg,../new_data/cut_style:america/0_65_E_.jpg,../new_data/cut_style:america/0_65_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.00100473],1,[0.         0.         0.         ... 0.         0.         0.01430426],[0.01774858 0.         0.39414227 ... 0.         0.         0.00100473]
0_67,../new_data/style:america/67.jpg,../new_data/cut_style:america/0_67_E_.jpg,../new_data/cut_style:america/0_67_Q_.jpg,[0.         0.01126171 0.         ... 0.02049009 0.02837771 0.11458601],1,[0.         0.01126171 0.         ... 0.01798833 0.         0.0443703 ],[0.         0.         0.07602269 ... 0.02049009 0.02837771 0.11458601]
0_68,../new_data/style:america/68.jpg,../new_data/cut_style:america/0_68_E_.jpg,../new_data/cut_style:america/0_68_Q_.jpg,[0.         0.         0.29794708 ... 0.         0.02128148 0.        ],1,[0.         0.         0.29794708 ... 0.         0.         0.14194958],[0.4562303  0.00908185 0.07910464 ... 0.         0.02128148 0.        ]
0_70,../new_data/style:america/70.jpg,../new_data/cut_style:america/0_70_E_.jpg,../new_data/cut_style:america/0_70_Q_.jpg,[0.00091528 0.         0.15462063 ... 0.         0.04104834 0.00716637],1,[0.00091528 0.         0.15462063 ... 0.         0.29768243 0.068607  ],[0.00191803 0.         0.05959236 ... 0.         0.04104834 0.00716637]
0_72,../new_data/style:america/72.jpg,../new_data/cut_style:america/0_72_E_.jpg,../new_data/cut_style:america/0_72_Q_.jpg,[0.00328152 0.         0.05637303 ... 0.         0.         0.20521033],1,[0.00328152 0.         0.05637303 ... 0.         0.03211262 0.3369604 ],[0.00135123 0.         0.08211368 ... 0.         0.         0.20521033]
0_73,../new_data/style:america/73.jpg,../new_data/cut_style:america/0_73_E_.jpg,../new_data/cut_style:america/0_73_Q_.jpg,[0.06422023 0.02083844 0.10806172 ... 0.         0.00825838 0.23960015],1,[0.06422023 0.02083844 0.10806172 ... 0.00126646 0.         0.05385664],[0.08314297 0.         0.28949204 ... 0.         0.00825838 0.23960015]
0_74,../new_data/style:america/74.jpg,../new_data/cut_style:america/0_74_E_.jpg,../new_data/cut_style:america/0_74_Q_.jpg,[0.         0.00070878 0.04288956 ... 0.00153853 0.         0.0002853 ],1,[0.         0.00070878 0.04288956 ... 0.         0.         0.02392287],[0.25843114 0.         0.08329209 ... 0.00153853 0.         0.0002853 ]
0_75,../new_data/style:america/75.jpg,../new_data/cut_style:america/0_75_E_.jpg,../new_data/cut_style:america/0_75_Q_.jpg,[0.         0.01903338 0.07358087 ... 0.         0.         0.03712953],1,[0.         0.01903338 0.07358087 ... 0.         0.         0.35132197],[0.         0.         0.22983558 ... 0.         0.         0.03712953]
0_76,../new_data/style:america/76.jpg,../new_data/cut_style:america/0_76_E_.jpg,../new_data/cut_style:america/0_76_Q_.jpg,[0.         0.         0.00187873 ... 0.         0.         0.00570209],1,[0.         0.         0.00187873 ... 0.         0.         0.05196569],[0.00744071 0.         0.15045103 ... 0.         0.         0.00570209]
0_77,../new_data/style:america/77.jpg,../new_data/cut_style:america/0_77_E_.jpg,../new_data/cut_style:america/0_77_Q_.jpg,[0.         0.         0.02892398 ... 0.04864477 0.         0.04326666],1,[0.         0.         0.02892398 ... 0.         0.         0.        ],[0.01015959 0.         0.5819292  ... 0.04864477 0.         0.04326666]
0_78,../new_data/style:america/78.jpg,../new_data/cut_style:america/0_78_E_.jpg,../new_data/cut_style:america/0_78_Q_.jpg,[0.         0.00168143 0.02305913 ... 0.         0.         0.00391919],1,[0.         0.00168143 0.02305913 ... 0.02663532 0.         0.23822509],[0.01622318 0.         0.67272764 ... 0.         0.         0.00391919]
0_79,../new_data/style:america/79.jpg,../new_data/cut_style:america/0_79_E_.jpg,../new_data/cut_style:america/0_79_Q_.jpg,[0.         0.00746292 0.19890131 ... 0.         0.00380281 0.00612338],1,[0.         0.00746292 0.19890131 ... 0.         0.02517778 0.453033  ],[0.2146325  0.         0.12103635 ... 0.         0.00380281 0.00612338]
0_80,../new_data/style:america/80.jpg,../new_data/cut_style:america/0_80_E_.jpg,../new_data/cut_style:america/0_80_Q_.jpg,[0.11844201 0.         0.18242571 ... 0.0035373  0.00795411 0.06471306],1,[0.11844201 0.         0.18242571 ... 0.         0.00794493 0.34294477],[0.13999978 0.         0.4890313  ... 0.0035373  0.00795411 0.06471306]
0_82,../new_data/style:america/82.jpg,../new_data/cut_style:america/0_82_E_.jpg,../new_data/cut_style:america/0_82_Q_.jpg,[0.         0.02170287 0.04000995 ... 0.         0.01095789 0.01585235],1,[0.         0.02170287 0.04000995 ... 0.         0.03337366 0.02366252],[0.12101892 0.00239396 0.46272114 ... 0.         0.01095789 0.01585235]
0_83,../new_data/style:america/83.jpg,../new_data/cut_style:america/0_83_E_.jpg,../new_data/cut_style:america/0_83_Q_.jpg,[0.12550195 0.         0.02829349 ... 0.02532489 0.01998547 0.1434585 ],1,[0.12550195 0.         0.02829349 ... 0.10257765 0.09104148 0.02793887],[0.09866571 0.00016001 0.01009964 ... 0.02532489 0.01998547 0.1434585 ]
0_85,../new_data/style:america/85.jpg,../new_data/cut_style:america/0_85_E_.jpg,../new_data/cut_style:america/0_85_Q_.jpg,[0.         0.         0.14750114 ... 0.         0.17777842 0.02050973],1,[0.         0.         0.14750114 ... 0.00255405 0.         0.46071967],[0.0043     0.         0.10762423 ... 0.         0.17777842 0.02050973]
0_86,../new_data/style:america/86.jpg,../new_data/cut_style:america/0_86_E_.jpg,../new_data/cut_style:america/0_86_Q_.jpg,[0.         0.         0.         ... 0.10354257 0.16755922 0.12208308],1,[0.         0.         0.         ... 0.         0.         0.05258425],[0.16380872 0.         0.05044137 ... 0.10354257 0.16755922 0.12208308]
0_87,../new_data/style:america/87.jpg,../new_data/cut_style:america/0_87_E_.jpg,../new_data/cut_style:america/0_87_Q_.jpg,[0.02970436 0.00485723 0.03111538 ... 0.00420977 0.00599856 0.03086273],1,[0.02970436 0.00485723 0.03111538 ... 0.01012648 0.03459889 0.05258609],[0.39903626 0.00170246 0.10682428 ... 0.00420977 0.00599856 0.03086273]
0_88,../new_data/style:america/88.jpg,../new_data/cut_style:america/0_88_E_.jpg,../new_data/cut_style:america/0_88_Q_.jpg,[0.         0.         0.10233422 ... 0.         0.00988457 0.00541638],1,[0.         0.         0.10233422 ... 0.         0.         0.3216374 ],[0.02410157 0.         0.         ... 0.         0.00988457 0.00541638]
0_91,../new_data/style:america/91.jpg,../new_data/cut_style:america/0_91_E_.jpg,../new_data/cut_style:america/0_91_Q_.jpg,[0.         0.         0.         ... 0.         0.02427048 0.00746366],1,[0.         0.         0.         ... 0.03602006 0.00731068 0.04064606],[0.25846082 0.         0.4018748  ... 0.         0.02427048 0.00746366]
0_92,../new_data/style:america/92.jpg,../new_data/cut_style:america/0_92_E_.jpg,../new_data/cut_style:america/0_92_Q_.jpg,[0.         0.         0.01786683 ... 0.         0.         0.        ],1,[0.         0.         0.01786683 ... 0.00708659 0.         0.15072533],[0.04441869 0.00280297 0.0725185  ... 0.         0.         0.        ]
0_94,../new_data/style:america/94.jpg,../new_data/cut_style:america/0_94_E_.jpg,../new_data/cut_style:america/0_94_Q_.jpg,[0. 0. 0. ... 0. 0. 0.],1,[0.         0.         0.         ... 0.06089683 0.06301413 0.        ],[0.02435322 0.         0.         ... 0.         0.         0.        ]
0_95,../new_data/style:america/95.jpg,../new_data/cut_style:america/0_95_E_.jpg,../new_data/cut_style:america/0_95_Q_.jpg,[0.         0.         0.         ... 0.         0.01257817 0.11777454],1,[0.         0.         0.         ... 0.         0.         0.06505901],[0.         0.         0.46392474 ... 0.         0.01257817 0.11777454]
0_96,../new_data/style:america/96.jpg,../new_data/cut_style:america/0_96_E_.jpg,../new_data/cut_style:america/0_96_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.09437551],1,[0.         0.         0.         ... 0.         0.         0.12351836],[0.         0.         0.02778098 ... 0.         0.         0.09437551]
0_99,../new_data/style:america/99.jpg,../new_data/cut_style:america/0_99_E_.jpg,../new_data/cut_style:america/0_99_Q_.jpg,[0.         0.         0.06580257 ... 0.01620451 0.         0.09133872],1,[0.         0.         0.06580257 ... 0.02083163 0.         0.09626688],[0.02395091 0.         0.6041424  ... 0.01620451 0.         0.09133872]
0_100,../new_data/style:america/100.jpg,../new_data/cut_style:america/0_100_E_.jpg,../new_data/cut_style:america/0_100_Q_.jpg,[0.         0.         0.         ... 0.01132111 0.         0.02048715],1,[0.         0.         0.         ... 0.         0.05940444 0.12136262],[0.         0.00285949 0.03360568 ... 0.01132111 0.         0.02048715]
0_101,../new_data/style:america/101.jpg,../new_data/cut_style:america/0_101_E_.jpg,../new_data/cut_style:america/0_101_Q_.jpg,[0.         0.         0.00259416 ... 0.         0.00347387 0.01209559],1,[0.         0.         0.00259416 ... 0.         0.         0.0062372 ],[0.08977168 0.         0.16368666 ... 0.         0.00347387 0.01209559]
0_103,../new_data/style:america/103.jpg,../new_data/cut_style:america/0_103_E_.jpg,../new_data/cut_style:america/0_103_Q_.jpg,[0.07132984 0.         0.13880461 ... 0.         0.0046428  0.01474848],1,[0.07132984 0.         0.13880461 ... 0.         0.00609606 0.01151523],[0.01298123 0.         0.         ... 0.         0.0046428  0.01474848]
0_104,../new_data/style:america/104.jpg,../new_data/cut_style:america/0_104_E_.jpg,../new_data/cut_style:america/0_104_Q_.jpg,[0.         0.         0.         ... 0.         0.08033966 0.0071479 ],1,[0.         0.         0.         ... 0.         0.         0.09427045],[0.04832556 0.00768706 0.05408011 ... 0.         0.08033966 0.0071479 ]
0_105,../new_data/style:america/105.jpg,../new_data/cut_style:america/0_105_E_.jpg,../new_data/cut_style:america/0_105_Q_.jpg,[0.         0.         0.28725073 ... 0.         0.00306186 0.02743017],1,[0.         0.         0.28725073 ... 0.         0.10648046 0.9161536 ],[0.10618676 0.         0.05494573 ... 0.         0.00306186 0.02743017]
0_106,../new_data/style:america/106.jpg,../new_data/cut_style:america/0_106_E_.jpg,../new_data/cut_style:america/0_106_Q_.jpg,[0.         0.         0.         ... 0.         0.00046835 0.        ],1,[0.         0.         0.         ... 0.09015899 0.00933459 0.        ],[0.03096388 0.         0.01520528 ... 0.         0.00046835 0.        ]
0_107,../new_data/style:america/107.jpg,../new_data/cut_style:america/0_107_E_.jpg,../new_data/cut_style:america/0_107_Q_.jpg,[0.         0.         0.06758797 ... 0.         0.         0.04427667],1,[0.         0.         0.06758797 ... 0.         0.         0.01888553],[0.00825422 0.         0.14229794 ... 0.         0.         0.04427667]
0_109,../new_data/style:america/109.jpg,../new_data/cut_style:america/0_109_E_.jpg,../new_data/cut_style:america/0_109_Q_.jpg,[0.         0.00229239 0.         ... 0.         0.         0.00912718],1,[0.         0.00229239 0.         ... 0.         0.00870434 0.00557425],[0.06839943 0.         0.38563916 ... 0.         0.         0.00912718]
0_110,../new_data/style:america/110.jpg,../new_data/cut_style:america/0_110_E_.jpg,../new_data/cut_style:america/0_110_Q_.jpg,[0.         0.02054012 0.00832661 ... 0.         0.0021395  0.00969796],1,[0.         0.02054012 0.00832661 ... 0.03363137 0.01167607 0.05113151],[0.         0.01075096 0.20809168 ... 0.         0.0021395  0.00969796]
0_111,../new_data/style:america/111.jpg,../new_data/cut_style:america/0_111_E_.jpg,../new_data/cut_style:america/0_111_Q_.jpg,[0.02877985 0.         0.03442439 ... 0.09648576 0.         0.0223478 ],1,[0.02877985 0.         0.03442439 ... 0.0115323  0.         0.39533848],[0.62793857 0.         0.02478516 ... 0.09648576 0.         0.0223478 ]
0_112,../new_data/style:america/112.jpg,../new_data/cut_style:america/0_112_E_.jpg,../new_data/cut_style:america/0_112_Q_.jpg,[0.         0.         0.064598   ... 0.19287229 0.01232602 0.24661751],1,[0.         0.         0.064598   ... 0.22838081 0.23129918 0.18930888],[0.06391441 0.         0.3268636  ... 0.19287229 0.01232602 0.24661751]
0_113,../new_data/style:america/113.jpg,../new_data/cut_style:america/0_113_E_.jpg,../new_data/cut_style:america/0_113_Q_.jpg,[0.         0.         0.28707358 ... 0.         0.         0.        ],1,[0.         0.         0.28707358 ... 0.         0.         0.        ],[0.01558101 0.         0.03038927 ... 0.         0.         0.        ]
0_114,../new_data/style:america/114.jpg,../new_data/cut_style:america/0_114_E_.jpg,../new_data/cut_style:america/0_114_Q_.jpg,[0.         0.         0.         ... 0.         0.00669048 0.04480868],1,[0.         0.         0.         ... 0.         0.12722737 0.07033066],[0.19373718 0.00172511 0.10311214 ... 0.         0.00669048 0.04480868]
0_115,../new_data/style:america/115.jpg,../new_data/cut_style:america/0_115_E_.jpg,../new_data/cut_style:america/0_115_Q_.jpg,[0.         0.00942929 0.05654093 ... 0.09892329 0.00689207 0.08294674],1,[0.         0.00942929 0.05654093 ... 0.         0.         0.30569378],[0.         0.         0.02338734 ... 0.09892329 0.00689207 0.08294674]
0_116,../new_data/style:america/116.jpg,../new_data/cut_style:america/0_116_E_.jpg,../new_data/cut_style:america/0_116_Q_.jpg,[0.         0.05307298 0.02052391 ... 0.         0.         0.0144252 ],1,[0.         0.05307298 0.02052391 ... 0.         0.02380323 0.12054598],[0.10934021 0.         0.13406938 ... 0.         0.         0.0144252 ]
0_117,../new_data/style:america/117.jpg,../new_data/cut_style:america/0_117_E_.jpg,../new_data/cut_style:america/0_117_Q_.jpg,[0.         0.00070381 0.         ... 0.         0.00015862 0.11370164],1,[0.         0.00070381 0.         ... 0.         0.         0.        ],"[1.3292412e-02 0.0000000e+00 3.4838441e-01 ... 0.0000000e+00 1.5862158e-04
 1.1370164e-01]"
0_118,../new_data/style:america/118.jpg,../new_data/cut_style:america/0_118_E_.jpg,../new_data/cut_style:america/0_118_Q_.jpg,[0.37029094 0.         0.20393918 ... 0.         0.15772489 0.00714869],1,[0.37029094 0.         0.20393918 ... 0.14036168 0.07676553 0.09904548],[0.         0.00599788 0.         ... 0.         0.15772489 0.00714869]
0_119,../new_data/style:america/119.jpg,../new_data/cut_style:america/0_119_E_.jpg,../new_data/cut_style:america/0_119_Q_.jpg,[0.         0.         0.24262579 ... 0.         0.         0.09431618],1,[0.         0.         0.24262579 ... 0.         0.07387819 0.13351186],[0.1883128  0.         0.09769948 ... 0.         0.         0.09431618]
0_120,../new_data/style:america/120.jpg,../new_data/cut_style:america/0_120_E_.jpg,../new_data/cut_style:america/0_120_Q_.jpg,[0.         0.         0.04673373 ... 0.01493708 0.         0.03152356],1,[0.         0.         0.04673373 ... 0.         0.00760357 0.23055422],[0.23499344 0.         0.01951788 ... 0.01493708 0.         0.03152356]
