idxE,idxQ,img_pathE,img_pathQ
0_649_E,2_929_Q,...TYPE0E_PATH/0_649_E,...TYPE2Q_PATH/2_929_Q
0_797_E,1_96_Q,...TYPE0E_PATH/0_797_E,...TYPE1Q_PATH/1_96_Q
0_745_E,2_833_Q,...TYPE0E_PATH/0_745_E,...TYPE2Q_PATH/2_833_Q
0_496_E,1_90_Q,...TYPE0E_PATH/0_496_E,...TYPE1Q_PATH/1_90_Q
0_700_E,2_199_Q,...TYPE0E_PATH/0_700_E,...TYPE2Q_PATH/2_199_Q
0_924_E,1_300_Q,...TYPE0E_PATH/0_924_E,...TYPE1Q_PATH/1_300_Q
0_105_E,2_811_Q,...TYPE0E_PATH/0_105_E,...TYPE2Q_PATH/2_811_Q
0_369_E,1_198_Q,...TYPE0E_PATH/0_369_E,...TYPE1Q_PATH/1_198_Q
0_919_E,2_173_Q,...TYPE0E_PATH/0_919_E,...TYPE2Q_PATH/2_173_Q
0_596_E,1_752_Q,...TYPE0E_PATH/0_596_E,...TYPE1Q_PATH/1_752_Q
0_651_E,2_178_Q,...TYPE0E_PATH/0_651_E,...TYPE2Q_PATH/2_178_Q
0_720_E,1_618_Q,...TYPE0E_PATH/0_720_E,...TYPE1Q_PATH/1_618_Q
0_366_E,2_399_Q,...TYPE0E_PATH/0_366_E,...TYPE2Q_PATH/2_399_Q
0_53_E,1_372_Q,...TYPE0E_PATH/0_53_E,...TYPE1Q_PATH/1_372_Q
0_619_E,2_924_Q,...TYPE0E_PATH/0_619_E,...TYPE2Q_PATH/2_924_Q
0_426_E,1_458_Q,...TYPE0E_PATH/0_426_E,...TYPE1Q_PATH/1_458_Q
0_905_E,2_624_Q,...TYPE0E_PATH/0_905_E,...TYPE2Q_PATH/2_624_Q
0_56_E,1_931_Q,...TYPE0E_PATH/0_56_E,...TYPE1Q_PATH/1_931_Q
0_315_E,2_62_Q,...TYPE0E_PATH/0_315_E,...TYPE2Q_PATH/2_62_Q
0_264_E,1_629_Q,...TYPE0E_PATH/0_264_E,...TYPE1Q_PATH/1_629_Q
0_42_E,2_955_Q,...TYPE0E_PATH/0_42_E,...TYPE2Q_PATH/2_955_Q
0_772_E,1_361_Q,...TYPE0E_PATH/0_772_E,...TYPE1Q_PATH/1_361_Q
0_130_E,2_657_Q,...TYPE0E_PATH/0_130_E,...TYPE2Q_PATH/2_657_Q
0_185_E,1_623_Q,...TYPE0E_PATH/0_185_E,...TYPE1Q_PATH/1_623_Q
0_440_E,2_12_Q,...TYPE0E_PATH/0_440_E,...TYPE2Q_PATH/2_12_Q
0_466_E,1_861_Q,...TYPE0E_PATH/0_466_E,...TYPE1Q_PATH/1_861_Q
0_151_E,2_343_Q,...TYPE0E_PATH/0_151_E,...TYPE2Q_PATH/2_343_Q
0_789_E,1_159_Q,...TYPE0E_PATH/0_789_E,...TYPE1Q_PATH/1_159_Q
0_588_E,2_804_Q,...TYPE0E_PATH/0_588_E,...TYPE2Q_PATH/2_804_Q
0_174_E,1_866_Q,...TYPE0E_PATH/0_174_E,...TYPE1Q_PATH/1_866_Q
0_36_E,2_590_Q,...TYPE0E_PATH/0_36_E,...TYPE2Q_PATH/2_590_Q
0_150_E,1_630_Q,...TYPE0E_PATH/0_150_E,...TYPE1Q_PATH/1_630_Q
0_152_E,2_643_Q,...TYPE0E_PATH/0_152_E,...TYPE2Q_PATH/2_643_Q
0_741_E,1_59_Q,...TYPE0E_PATH/0_741_E,...TYPE1Q_PATH/1_59_Q
0_676_E,2_231_Q,...TYPE0E_PATH/0_676_E,...TYPE2Q_PATH/2_231_Q
0_113_E,1_731_Q,...TYPE0E_PATH/0_113_E,...TYPE1Q_PATH/1_731_Q
0_960_E,2_512_Q,...TYPE0E_PATH/0_960_E,...TYPE2Q_PATH/2_512_Q
0_428_E,1_905_Q,...TYPE0E_PATH/0_428_E,...TYPE1Q_PATH/1_905_Q
0_601_E,2_159_Q,...TYPE0E_PATH/0_601_E,...TYPE2Q_PATH/2_159_Q
0_965_E,1_850_Q,...TYPE0E_PATH/0_965_E,...TYPE1Q_PATH/1_850_Q
0_437_E,2_868_Q,...TYPE0E_PATH/0_437_E,...TYPE2Q_PATH/2_868_Q
0_18_E,1_151_Q,...TYPE0E_PATH/0_18_E,...TYPE1Q_PATH/1_151_Q
0_452_E,2_797_Q,...TYPE0E_PATH/0_452_E,...TYPE2Q_PATH/2_797_Q
0_189_E,1_904_Q,...TYPE0E_PATH/0_189_E,...TYPE1Q_PATH/1_904_Q
0_785_E,2_384_Q,...TYPE0E_PATH/0_785_E,...TYPE2Q_PATH/2_384_Q
0_414_E,1_193_Q,...TYPE0E_PATH/0_414_E,...TYPE1Q_PATH/1_193_Q
0_268_E,2_511_Q,...TYPE0E_PATH/0_268_E,...TYPE2Q_PATH/2_511_Q
0_589_E,1_122_Q,...TYPE0E_PATH/0_589_E,...TYPE1Q_PATH/1_122_Q
0_133_E,2_385_Q,...TYPE0E_PATH/0_133_E,...TYPE2Q_PATH/2_385_Q
0_666_E,1_993_Q,...TYPE0E_PATH/0_666_E,...TYPE1Q_PATH/1_993_Q
0_341_E,2_327_Q,...TYPE0E_PATH/0_341_E,...TYPE2Q_PATH/2_327_Q
0_763_E,1_413_Q,...TYPE0E_PATH/0_763_E,...TYPE1Q_PATH/1_413_Q
0_803_E,2_475_Q,...TYPE0E_PATH/0_803_E,...TYPE2Q_PATH/2_475_Q
0_221_E,1_506_Q,...TYPE0E_PATH/0_221_E,...TYPE1Q_PATH/1_506_Q
0_45_E,2_79_Q,...TYPE0E_PATH/0_45_E,...TYPE2Q_PATH/2_79_Q
0_586_E,1_271_Q,...TYPE0E_PATH/0_586_E,...TYPE1Q_PATH/1_271_Q
0_283_E,2_125_Q,...TYPE0E_PATH/0_283_E,...TYPE2Q_PATH/2_125_Q
0_581_E,1_182_Q,...TYPE0E_PATH/0_581_E,...TYPE1Q_PATH/1_182_Q
0_652_E,2_837_Q,...TYPE0E_PATH/0_652_E,...TYPE2Q_PATH/2_837_Q
0_299_E,1_496_Q,...TYPE0E_PATH/0_299_E,...TYPE1Q_PATH/1_496_Q
0_948_E,2_471_Q,...TYPE0E_PATH/0_948_E,...TYPE2Q_PATH/2_471_Q
0_638_E,1_56_Q,...TYPE0E_PATH/0_638_E,...TYPE1Q_PATH/1_56_Q
0_52_E,2_984_Q,...TYPE0E_PATH/0_52_E,...TYPE2Q_PATH/2_984_Q
0_386_E,1_591_Q,...TYPE0E_PATH/0_386_E,...TYPE1Q_PATH/1_591_Q
0_821_E,2_322_Q,...TYPE0E_PATH/0_821_E,...TYPE2Q_PATH/2_322_Q
0_364_E,1_51_Q,...TYPE0E_PATH/0_364_E,...TYPE1Q_PATH/1_51_Q
0_779_E,2_358_Q,...TYPE0E_PATH/0_779_E,...TYPE2Q_PATH/2_358_Q
0_879_E,1_367_Q,...TYPE0E_PATH/0_879_E,...TYPE1Q_PATH/1_367_Q
0_977_E,2_818_Q,...TYPE0E_PATH/0_977_E,...TYPE2Q_PATH/2_818_Q
0_334_E,1_420_Q,...TYPE0E_PATH/0_334_E,...TYPE1Q_PATH/1_420_Q
0_599_E,2_340_Q,...TYPE0E_PATH/0_599_E,...TYPE2Q_PATH/2_340_Q
0_16_E,1_732_Q,...TYPE0E_PATH/0_16_E,...TYPE1Q_PATH/1_732_Q
0_208_E,2_154_Q,...TYPE0E_PATH/0_208_E,...TYPE2Q_PATH/2_154_Q
0_202_E,1_798_Q,...TYPE0E_PATH/0_202_E,...TYPE1Q_PATH/1_798_Q
0_351_E,2_29_Q,...TYPE0E_PATH/0_351_E,...TYPE2Q_PATH/2_29_Q
0_1_E,1_228_Q,...TYPE0E_PATH/0_1_E,...TYPE1Q_PATH/1_228_Q
0_215_E,2_388_Q,...TYPE0E_PATH/0_215_E,...TYPE2Q_PATH/2_388_Q
0_38_E,1_515_Q,...TYPE0E_PATH/0_38_E,...TYPE1Q_PATH/1_515_Q
0_288_E,2_83_Q,...TYPE0E_PATH/0_288_E,...TYPE2Q_PATH/2_83_Q
0_290_E,1_180_Q,...TYPE0E_PATH/0_290_E,...TYPE1Q_PATH/1_180_Q
0_278_E,2_726_Q,...TYPE0E_PATH/0_278_E,...TYPE2Q_PATH/2_726_Q
0_493_E,1_917_Q,...TYPE0E_PATH/0_493_E,...TYPE1Q_PATH/1_917_Q
0_953_E,2_474_Q,...TYPE0E_PATH/0_953_E,...TYPE2Q_PATH/2_474_Q
0_247_E,1_113_Q,...TYPE0E_PATH/0_247_E,...TYPE1Q_PATH/1_113_Q
0_820_E,2_856_Q,...TYPE0E_PATH/0_820_E,...TYPE2Q_PATH/2_856_Q
0_506_E,1_189_Q,...TYPE0E_PATH/0_506_E,...TYPE1Q_PATH/1_189_Q
0_109_E,2_787_Q,...TYPE0E_PATH/0_109_E,...TYPE2Q_PATH/2_787_Q
0_896_E,1_40_Q,...TYPE0E_PATH/0_896_E,...TYPE1Q_PATH/1_40_Q
0_118_E,2_666_Q,...TYPE0E_PATH/0_118_E,...TYPE2Q_PATH/2_666_Q
0_713_E,1_114_Q,...TYPE0E_PATH/0_713_E,...TYPE1Q_PATH/1_114_Q
0_941_E,2_250_Q,...TYPE0E_PATH/0_941_E,...TYPE2Q_PATH/2_250_Q
0_891_E,1_820_Q,...TYPE0E_PATH/0_891_E,...TYPE1Q_PATH/1_820_Q
0_137_E,2_893_Q,...TYPE0E_PATH/0_137_E,...TYPE2Q_PATH/2_893_Q
0_76_E,1_158_Q,...TYPE0E_PATH/0_76_E,...TYPE1Q_PATH/1_158_Q
0_106_E,2_221_Q,...TYPE0E_PATH/0_106_E,...TYPE2Q_PATH/2_221_Q
0_911_E,1_207_Q,...TYPE0E_PATH/0_911_E,...TYPE1Q_PATH/1_207_Q
0_306_E,2_460_Q,...TYPE0E_PATH/0_306_E,...TYPE2Q_PATH/2_460_Q
0_792_E,1_53_Q,...TYPE0E_PATH/0_792_E,...TYPE1Q_PATH/1_53_Q
0_972_E,2_572_Q,...TYPE0E_PATH/0_972_E,...TYPE2Q_PATH/2_572_Q
0_508_E,1_240_Q,...TYPE0E_PATH/0_508_E,...TYPE1Q_PATH/1_240_Q
0_8_E,2_295_Q,...TYPE0E_PATH/0_8_E,...TYPE2Q_PATH/2_295_Q
0_177_E,1_616_Q,...TYPE0E_PATH/0_177_E,...TYPE1Q_PATH/1_616_Q
0_822_E,2_248_Q,...TYPE0E_PATH/0_822_E,...TYPE2Q_PATH/2_248_Q
0_842_E,1_437_Q,...TYPE0E_PATH/0_842_E,...TYPE1Q_PATH/1_437_Q
0_309_E,2_242_Q,...TYPE0E_PATH/0_309_E,...TYPE2Q_PATH/2_242_Q
0_200_E,1_19_Q,...TYPE0E_PATH/0_200_E,...TYPE1Q_PATH/1_19_Q
0_556_E,2_161_Q,...TYPE0E_PATH/0_556_E,...TYPE2Q_PATH/2_161_Q
0_765_E,1_943_Q,...TYPE0E_PATH/0_765_E,...TYPE1Q_PATH/1_943_Q
0_743_E,2_758_Q,...TYPE0E_PATH/0_743_E,...TYPE2Q_PATH/2_758_Q
0_909_E,1_245_Q,...TYPE0E_PATH/0_909_E,...TYPE1Q_PATH/1_245_Q
0_634_E,2_916_Q,...TYPE0E_PATH/0_634_E,...TYPE2Q_PATH/2_916_Q
0_293_E,1_947_Q,...TYPE0E_PATH/0_293_E,...TYPE1Q_PATH/1_947_Q
0_291_E,2_356_Q,...TYPE0E_PATH/0_291_E,...TYPE2Q_PATH/2_356_Q
0_538_E,1_537_Q,...TYPE0E_PATH/0_538_E,...TYPE1Q_PATH/1_537_Q
0_378_E,2_508_Q,...TYPE0E_PATH/0_378_E,...TYPE2Q_PATH/2_508_Q
0_24_E,1_366_Q,...TYPE0E_PATH/0_24_E,...TYPE1Q_PATH/1_366_Q
0_889_E,2_277_Q,...TYPE0E_PATH/0_889_E,...TYPE2Q_PATH/2_277_Q
0_694_E,1_434_Q,...TYPE0E_PATH/0_694_E,...TYPE1Q_PATH/1_434_Q
0_629_E,2_151_Q,...TYPE0E_PATH/0_629_E,...TYPE2Q_PATH/2_151_Q
0_210_E,1_756_Q,...TYPE0E_PATH/0_210_E,...TYPE1Q_PATH/1_756_Q
0_357_E,2_138_Q,...TYPE0E_PATH/0_357_E,...TYPE2Q_PATH/2_138_Q
0_424_E,1_721_Q,...TYPE0E_PATH/0_424_E,...TYPE1Q_PATH/1_721_Q
0_712_E,2_239_Q,...TYPE0E_PATH/0_712_E,...TYPE2Q_PATH/2_239_Q
0_528_E,1_110_Q,...TYPE0E_PATH/0_528_E,...TYPE1Q_PATH/1_110_Q
0_620_E,2_97_Q,...TYPE0E_PATH/0_620_E,...TYPE2Q_PATH/2_97_Q
0_34_E,1_94_Q,...TYPE0E_PATH/0_34_E,...TYPE1Q_PATH/1_94_Q
0_518_E,2_962_Q,...TYPE0E_PATH/0_518_E,...TYPE2Q_PATH/2_962_Q
0_928_E,1_146_Q,...TYPE0E_PATH/0_928_E,...TYPE1Q_PATH/1_146_Q
0_662_E,2_995_Q,...TYPE0E_PATH/0_662_E,...TYPE2Q_PATH/2_995_Q
0_398_E,1_930_Q,...TYPE0E_PATH/0_398_E,...TYPE1Q_PATH/1_930_Q
0_550_E,2_299_Q,...TYPE0E_PATH/0_550_E,...TYPE2Q_PATH/2_299_Q
0_607_E,1_438_Q,...TYPE0E_PATH/0_607_E,...TYPE1Q_PATH/1_438_Q
0_75_E,2_253_Q,...TYPE0E_PATH/0_75_E,...TYPE2Q_PATH/2_253_Q
0_298_E,1_391_Q,...TYPE0E_PATH/0_298_E,...TYPE1Q_PATH/1_391_Q
0_102_E,2_947_Q,...TYPE0E_PATH/0_102_E,...TYPE2Q_PATH/2_947_Q
0_848_E,1_125_Q,...TYPE0E_PATH/0_848_E,...TYPE1Q_PATH/1_125_Q
0_576_E,2_796_Q,...TYPE0E_PATH/0_576_E,...TYPE2Q_PATH/2_796_Q
0_668_E,1_213_Q,...TYPE0E_PATH/0_668_E,...TYPE1Q_PATH/1_213_Q
0_857_E,2_756_Q,...TYPE0E_PATH/0_857_E,...TYPE2Q_PATH/2_756_Q
0_282_E,1_478_Q,...TYPE0E_PATH/0_282_E,...TYPE1Q_PATH/1_478_Q
0_9_E,2_380_Q,...TYPE0E_PATH/0_9_E,...TYPE2Q_PATH/2_380_Q
0_939_E,1_419_Q,...TYPE0E_PATH/0_939_E,...TYPE1Q_PATH/1_419_Q
0_74_E,2_281_Q,...TYPE0E_PATH/0_74_E,...TYPE2Q_PATH/2_281_Q
0_944_E,1_162_Q,...TYPE0E_PATH/0_944_E,...TYPE1Q_PATH/1_162_Q
0_951_E,2_146_Q,...TYPE0E_PATH/0_951_E,...TYPE2Q_PATH/2_146_Q
0_606_E,1_707_Q,...TYPE0E_PATH/0_606_E,...TYPE1Q_PATH/1_707_Q
0_468_E,2_481_Q,...TYPE0E_PATH/0_468_E,...TYPE2Q_PATH/2_481_Q
0_959_E,1_370_Q,...TYPE0E_PATH/0_959_E,...TYPE1Q_PATH/1_370_Q
0_307_E,2_610_Q,...TYPE0E_PATH/0_307_E,...TYPE2Q_PATH/2_610_Q
0_934_E,1_358_Q,...TYPE0E_PATH/0_934_E,...TYPE1Q_PATH/1_358_Q
0_134_E,2_77_Q,...TYPE0E_PATH/0_134_E,...TYPE2Q_PATH/2_77_Q
0_731_E,1_464_Q,...TYPE0E_PATH/0_731_E,...TYPE1Q_PATH/1_464_Q
0_859_E,2_316_Q,...TYPE0E_PATH/0_859_E,...TYPE2Q_PATH/2_316_Q
0_287_E,1_7_Q,...TYPE0E_PATH/0_287_E,...TYPE1Q_PATH/1_7_Q
0_884_E,2_441_Q,...TYPE0E_PATH/0_884_E,...TYPE2Q_PATH/2_441_Q
0_527_E,1_679_Q,...TYPE0E_PATH/0_527_E,...TYPE1Q_PATH/1_679_Q
0_244_E,2_795_Q,...TYPE0E_PATH/0_244_E,...TYPE2Q_PATH/2_795_Q
0_807_E,1_65_Q,...TYPE0E_PATH/0_807_E,...TYPE1Q_PATH/1_65_Q
0_641_E,2_421_Q,...TYPE0E_PATH/0_641_E,...TYPE2Q_PATH/2_421_Q
0_229_E,1_710_Q,...TYPE0E_PATH/0_229_E,...TYPE1Q_PATH/1_710_Q
0_209_E,2_150_Q,...TYPE0E_PATH/0_209_E,...TYPE2Q_PATH/2_150_Q
0_436_E,1_560_Q,...TYPE0E_PATH/0_436_E,...TYPE1Q_PATH/1_560_Q
0_267_E,2_671_Q,...TYPE0E_PATH/0_267_E,...TYPE2Q_PATH/2_671_Q
0_28_E,1_860_Q,...TYPE0E_PATH/0_28_E,...TYPE1Q_PATH/1_860_Q
0_870_E,2_355_Q,...TYPE0E_PATH/0_870_E,...TYPE2Q_PATH/2_355_Q
0_374_E,1_432_Q,...TYPE0E_PATH/0_374_E,...TYPE1Q_PATH/1_432_Q
0_535_E,2_823_Q,...TYPE0E_PATH/0_535_E,...TYPE2Q_PATH/2_823_Q
0_819_E,1_177_Q,...TYPE0E_PATH/0_819_E,...TYPE1Q_PATH/1_177_Q
0_578_E,2_826_Q,...TYPE0E_PATH/0_578_E,...TYPE2Q_PATH/2_826_Q
0_316_E,1_911_Q,...TYPE0E_PATH/0_316_E,...TYPE1Q_PATH/1_911_Q
0_845_E,2_957_Q,...TYPE0E_PATH/0_845_E,...TYPE2Q_PATH/2_957_Q
0_560_E,1_197_Q,...TYPE0E_PATH/0_560_E,...TYPE1Q_PATH/1_197_Q
0_968_E,2_527_Q,...TYPE0E_PATH/0_968_E,...TYPE2Q_PATH/2_527_Q
0_241_E,1_318_Q,...TYPE0E_PATH/0_241_E,...TYPE1Q_PATH/1_318_Q
0_83_E,2_901_Q,...TYPE0E_PATH/0_83_E,...TYPE2Q_PATH/2_901_Q
0_149_E,1_341_Q,...TYPE0E_PATH/0_149_E,...TYPE1Q_PATH/1_341_Q
0_40_E,2_609_Q,...TYPE0E_PATH/0_40_E,...TYPE2Q_PATH/2_609_Q
0_516_E,1_949_Q,...TYPE0E_PATH/0_516_E,...TYPE1Q_PATH/1_949_Q
0_608_E,2_466_Q,...TYPE0E_PATH/0_608_E,...TYPE2Q_PATH/2_466_Q
0_417_E,1_982_Q,...TYPE0E_PATH/0_417_E,...TYPE1Q_PATH/1_982_Q
0_592_E,2_129_Q,...TYPE0E_PATH/0_592_E,...TYPE2Q_PATH/2_129_Q
0_660_E,1_817_Q,...TYPE0E_PATH/0_660_E,...TYPE1Q_PATH/1_817_Q
0_853_E,2_863_Q,...TYPE0E_PATH/0_853_E,...TYPE2Q_PATH/2_863_Q
0_198_E,1_131_Q,...TYPE0E_PATH/0_198_E,...TYPE1Q_PATH/1_131_Q
0_583_E,2_170_Q,...TYPE0E_PATH/0_583_E,...TYPE2Q_PATH/2_170_Q
0_585_E,1_575_Q,...TYPE0E_PATH/0_585_E,...TYPE1Q_PATH/1_575_Q
0_122_E,2_274_Q,...TYPE0E_PATH/0_122_E,...TYPE2Q_PATH/2_274_Q
0_325_E,1_288_Q,...TYPE0E_PATH/0_325_E,...TYPE1Q_PATH/1_288_Q
0_413_E,2_866_Q,...TYPE0E_PATH/0_413_E,...TYPE2Q_PATH/2_866_Q
0_823_E,1_208_Q,...TYPE0E_PATH/0_823_E,...TYPE1Q_PATH/1_208_Q
0_240_E,2_317_Q,...TYPE0E_PATH/0_240_E,...TYPE2Q_PATH/2_317_Q
0_702_E,1_936_Q,...TYPE0E_PATH/0_702_E,...TYPE1Q_PATH/1_936_Q
0_723_E,2_986_Q,...TYPE0E_PATH/0_723_E,...TYPE2Q_PATH/2_986_Q
0_949_E,1_996_Q,...TYPE0E_PATH/0_949_E,...TYPE1Q_PATH/1_996_Q
0_609_E,2_711_Q,...TYPE0E_PATH/0_609_E,...TYPE2Q_PATH/2_711_Q
0_515_E,1_685_Q,...TYPE0E_PATH/0_515_E,...TYPE1Q_PATH/1_685_Q
0_766_E,2_505_Q,...TYPE0E_PATH/0_766_E,...TYPE2Q_PATH/2_505_Q
0_864_E,1_497_Q,...TYPE0E_PATH/0_864_E,...TYPE1Q_PATH/1_497_Q
0_190_E,2_694_Q,...TYPE0E_PATH/0_190_E,...TYPE2Q_PATH/2_694_Q
0_836_E,1_303_Q,...TYPE0E_PATH/0_836_E,...TYPE1Q_PATH/1_303_Q
0_82_E,2_943_Q,...TYPE0E_PATH/0_82_E,...TYPE2Q_PATH/2_943_Q
0_877_E,1_327_Q,...TYPE0E_PATH/0_877_E,...TYPE1Q_PATH/1_327_Q
0_520_E,2_545_Q,...TYPE0E_PATH/0_520_E,...TYPE2Q_PATH/2_545_Q
0_359_E,1_221_Q,...TYPE0E_PATH/0_359_E,...TYPE1Q_PATH/1_221_Q
0_876_E,2_646_Q,...TYPE0E_PATH/0_876_E,...TYPE2Q_PATH/2_646_Q
0_594_E,1_133_Q,...TYPE0E_PATH/0_594_E,...TYPE1Q_PATH/1_133_Q
0_805_E,2_269_Q,...TYPE0E_PATH/0_805_E,...TYPE2Q_PATH/2_269_Q
0_788_E,1_503_Q,...TYPE0E_PATH/0_788_E,...TYPE1Q_PATH/1_503_Q
0_783_E,2_61_Q,...TYPE0E_PATH/0_783_E,...TYPE2Q_PATH/2_61_Q
0_188_E,1_677_Q,...TYPE0E_PATH/0_188_E,...TYPE1Q_PATH/1_677_Q
