idxE,idxQ,img_pathE,img_pathQ,predEQ,label,embedE,embedQ
13_1940_E_,13_1940_Q_,../new_data/cut_ugly_clothes_pair/13_1940_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1940_Q_.jpg,"[7.9150940e-04 4.6504007e-05 6.1631817e-02 ... 3.6134217e-02 3.4815438e-02
 0.0000000e+00]",0,"[7.9150940e-04 4.6504007e-05 6.1631817e-02 ... 0.0000000e+00 0.0000000e+00
 4.1062105e-01]",[0.27019218 0.04286562 0.10893424 ... 0.03613422 0.03481544 0.        ]
1_635_E_,1_635_Q_,../new_data/cut_style:japan/1_635_E_.jpg,../new_data/cut_style:japan/1_635_Q_.jpg,[0.         0.0038015  0.         ... 0.         0.03862904 0.00189105],1,[0.         0.0038015  0.         ... 0.         0.         0.03730018],[0.32020083 0.         0.         ... 0.         0.03862904 0.00189105]
0_260_E_,0_260_Q_,../new_data/cut_style:america/0_260_E_.jpg,../new_data/cut_style:america/0_260_Q_.jpg,[0.00392401 0.00339363 0.15012564 ... 0.         0.09002643 0.03336662],1,[0.00392401 0.00339363 0.15012564 ... 0.         0.         0.07206777],[0.8227236  0.         0.00847223 ... 0.         0.09002643 0.03336662]
2_397_E_,2_397_Q_,../new_data/cut_style:korea/2_397_E_.jpg,../new_data/cut_style:korea/2_397_Q_.jpg,[0.         0.00100394 0.03036251 ... 0.03698531 0.03531341 0.01361966],1,[0.         0.00100394 0.03036251 ... 0.         0.00745849 0.16357926],[0.1696875  0.         0.10331733 ... 0.03698531 0.03531341 0.01361966]
0_588_E_,0_588_Q_,../new_data/cut_style:america/0_588_E_.jpg,../new_data/cut_style:america/0_588_Q_.jpg,[0.         0.         0.06135103 ... 0.         0.02203874 0.        ],1,[0.         0.         0.06135103 ... 0.         0.16905312 0.15105018],[0.29864722 0.         0.00040128 ... 0.         0.02203874 0.        ]
1_574_E_,1_574_Q_,../new_data/cut_style:japan/1_574_E_.jpg,../new_data/cut_style:japan/1_574_Q_.jpg,[0.         0.         0.4317476  ... 0.         0.09773207 0.00983183],1,[0.         0.         0.4317476  ... 0.         0.05360521 0.10712348],[0.08173264 0.00219495 0.31911713 ... 0.         0.09773207 0.00983183]
2_501_E_,2_501_Q_,../new_data/cut_style:korea/2_501_E_.jpg,../new_data/cut_style:korea/2_501_Q_.jpg,[0.0095005  0.         0.04000989 ... 0.04595287 0.06220984 0.09806176],1,[0.0095005  0.         0.04000989 ... 0.         0.         0.069487  ],[0.00302586 0.         0.69556373 ... 0.04595287 0.06220984 0.09806176]
1_571_E_,1_571_Q_,../new_data/cut_style:japan/1_571_E_.jpg,../new_data/cut_style:japan/1_571_Q_.jpg,[0.         0.         0.10883056 ... 0.0300652  0.00047577 0.00586763],1,[0.         0.         0.10883056 ... 0.         0.02702042 0.32047433],[0.07435972 0.         0.24841082 ... 0.0300652  0.00047577 0.00586763]
1_199_E_,1_199_Q_,../new_data/cut_style:japan/1_199_E_.jpg,../new_data/cut_style:japan/1_199_Q_.jpg,[0.00022895 0.         0.1791245  ... 0.         0.00898593 0.06234718],1,[0.00022895 0.         0.1791245  ... 0.0388134  0.015125   0.10289929],[0.02766993 0.00663847 0.18157975 ... 0.         0.00898593 0.06234718]
13_1244_E_,13_1244_Q_,../new_data/cut_ugly_clothes_pair/13_1244_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1244_Q_.jpg,[0.         0.01470777 0.04647563 ... 0.         0.         0.00110078],0,[0.         0.01470777 0.04647563 ... 0.01296422 0.         0.00930263],[0.67118114 0.02354246 0.5439592  ... 0.         0.         0.00110078]
1_847_E_,1_847_Q_,../new_data/cut_style:japan/1_847_E_.jpg,../new_data/cut_style:japan/1_847_Q_.jpg,[0.         0.         0.15391454 ... 0.         0.         0.04722094],1,[0.         0.         0.15391454 ... 0.         0.05588684 0.36590934],[0.01670207 0.01380424 0.         ... 0.         0.         0.04722094]
13_1949_E_,13_1949_Q_,../new_data/cut_ugly_clothes_pair/13_1949_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1949_Q_.jpg,[0.         0.05302667 0.031166   ... 0.         0.05661421 0.09979299],0,[0.         0.05302667 0.031166   ... 0.00343339 0.00155861 0.10929871],[0.14790212 0.0082182  0.36183625 ... 0.         0.05661421 0.09979299]
2_370_E_,2_370_Q_,../new_data/cut_style:korea/2_370_E_.jpg,../new_data/cut_style:korea/2_370_Q_.jpg,[0.         0.02360621 0.51086575 ... 0.         0.08103479 0.6298401 ],1,[0.         0.02360621 0.51086575 ... 0.         0.         0.9475019 ],[0.04258513 0.35320276 0.1309215  ... 0.         0.08103479 0.6298401 ]
0_857_E_,0_857_Q_,../new_data/cut_style:america/0_857_E_.jpg,../new_data/cut_style:america/0_857_Q_.jpg,[0.         0.         0.01068779 ... 0.         0.         0.00064151],1,[0.         0.         0.01068779 ... 0.01419201 0.         0.08347419],[0.03441391 0.0084011  0.06569922 ... 0.         0.         0.00064151]
1_750_E_,1_750_Q_,../new_data/cut_style:japan/1_750_E_.jpg,../new_data/cut_style:japan/1_750_Q_.jpg,[0.03307386 0.         0.05603245 ... 0.03648062 0.         0.10418397],1,[0.03307386 0.         0.05603245 ... 0.04151294 0.25127143 0.06418147],[0.00310153 0.01261328 0.         ... 0.03648062 0.         0.10418397]
13_905_E_,13_905_Q_,../new_data/cut_ugly_clothes_pair/13_905_E_.jpg,../new_data/cut_ugly_clothes_pair/13_905_Q_.jpg,[0.         0.5084852  0.00738553 ... 0.00633786 0.         0.02034592],0,[0.         0.5084852  0.00738553 ... 0.         0.04994329 0.21973588],[0.00561948 0.         0.07135171 ... 0.00633786 0.         0.02034592]
1_768_E_,1_768_Q_,../new_data/cut_style:japan/1_768_E_.jpg,../new_data/cut_style:japan/1_768_Q_.jpg,[0.00949077 0.00570594 0.09152835 ... 0.         0.         0.01107236],1,[0.00949077 0.00570594 0.09152835 ... 0.         0.         0.01125985],[0.00586528 0.         0.         ... 0.         0.         0.01107236]
1_606_E_,1_606_Q_,../new_data/cut_style:japan/1_606_E_.jpg,../new_data/cut_style:japan/1_606_Q_.jpg,[0.         0.03639214 0.08127102 ... 0.         0.         0.02825816],1,"[0.0000000e+00 3.6392137e-02 8.1271023e-02 ... 0.0000000e+00 8.1891671e-04
 1.1956544e+00]",[0.         0.         0.02489192 ... 0.         0.         0.02825816]
13_2583_E_,13_2583_Q_,../new_data/cut_ugly_clothes_pair/13_2583_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2583_Q_.jpg,[0.         0.1653202  0.08748955 ... 0.17324583 0.05061334 0.03986702],0,[0.         0.1653202  0.08748955 ... 0.         0.02213793 0.06761409],[0.33941045 0.00189253 0.28289336 ... 0.17324583 0.05061334 0.03986702]
0_774_E_,0_774_Q_,../new_data/cut_style:america/0_774_E_.jpg,../new_data/cut_style:america/0_774_Q_.jpg,[0.         0.         0.01245594 ... 0.         0.00214659 0.        ],1,[0.         0.         0.01245594 ... 0.         0.04469921 0.00550292],[0.1080752  0.0604073  0.         ... 0.         0.00214659 0.        ]
13_434_E_,13_434_Q_,../new_data/cut_ugly_clothes_pair/13_434_E_.jpg,../new_data/cut_ugly_clothes_pair/13_434_Q_.jpg,[0.         0.00578497 0.17021042 ... 0.         0.         0.01160831],0,[0.         0.00578497 0.17021042 ... 0.         0.02307726 0.9624767 ],[0.12479058 0.         0.00794753 ... 0.         0.         0.01160831]
1_233_E_,1_233_Q_,../new_data/cut_style:japan/1_233_E_.jpg,../new_data/cut_style:japan/1_233_Q_.jpg,[0.         0.00036567 0.0525552  ... 0.         0.         0.01418752],1,[0.         0.00036567 0.0525552  ... 0.06805379 0.05444354 0.07743213],[0.         0.         0.09814572 ... 0.         0.         0.01418752]
0_883_E_,0_883_Q_,../new_data/cut_style:america/0_883_E_.jpg,../new_data/cut_style:america/0_883_Q_.jpg,[0.         0.         0.         ... 0.32309833 0.02309865 0.00540645],1,[0.        0.        0.        ... 0.        0.        0.0561102],[0.         0.         0.05814917 ... 0.32309833 0.02309865 0.00540645]
2_225_E_,2_225_Q_,../new_data/cut_style:korea/2_225_E_.jpg,../new_data/cut_style:korea/2_225_Q_.jpg,[0.00817818 0.01546075 0.02478284 ... 0.1018636  0.         0.01090389],1,[0.00817818 0.01546075 0.02478284 ... 0.         0.         0.02461131],[0.15168554 0.         0.3827127  ... 0.1018636  0.         0.01090389]
13_1799_E_,13_1799_Q_,../new_data/cut_ugly_clothes_pair/13_1799_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1799_Q_.jpg,[0.11808182 0.03021936 0.11989922 ... 0.0995491  0.         0.0753834 ],0,[0.11808182 0.03021936 0.11989922 ... 0.         0.         0.0827955 ],[0.23597394 0.         0.07912436 ... 0.0995491  0.         0.0753834 ]
1_51_E_,1_51_Q_,../new_data/cut_style:japan/1_51_E_.jpg,../new_data/cut_style:japan/1_51_Q_.jpg,[0.         0.         0.13452426 ... 0.         0.0225843  0.00058086],1,[0.         0.         0.13452426 ... 0.02840314 0.04836817 0.08336767],[0.18964076 0.         0.09274796 ... 0.         0.0225843  0.00058086]
13_1005_E_,13_1005_Q_,../new_data/cut_ugly_clothes_pair/13_1005_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1005_Q_.jpg,[0.42002517 0.00803026 0.00282606 ... 0.         0.         0.        ],0,[0.42002517 0.00803026 0.00282606 ... 0.         0.04717733 0.00413694],[0.1330765  0.         0.00578782 ... 0.         0.         0.        ]
13_2081_E_,13_2081_Q_,../new_data/cut_ugly_clothes_pair/13_2081_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2081_Q_.jpg,[0.         0.         0.16140068 ... 0.00447527 0.         0.        ],0,[0.         0.         0.16140068 ... 0.         0.         0.1072013 ],[0.01599555 0.         0.42549047 ... 0.00447527 0.         0.        ]
13_372_E_,13_372_Q_,../new_data/cut_ugly_clothes_pair/13_372_E_.jpg,../new_data/cut_ugly_clothes_pair/13_372_Q_.jpg,[0.06571601 0.01178921 0.27022314 ... 0.         0.         0.12815821],0,[0.06571601 0.01178921 0.27022314 ... 0.01929609 0.21873546 0.2834694 ],[0.0203734  0.01326011 0.17942983 ... 0.         0.         0.12815821]
0_978_E_,0_978_Q_,../new_data/cut_style:america/0_978_E_.jpg,../new_data/cut_style:america/0_978_Q_.jpg,[0.00252024 0.         0.13324106 ... 0.         0.0056377  0.03368414],1,[0.00252024 0.         0.13324106 ... 0.14498074 0.10665899 0.00564517],[0.00558014 0.         0.         ... 0.         0.0056377  0.03368414]
2_274_E_,2_274_Q_,../new_data/cut_style:korea/2_274_E_.jpg,../new_data/cut_style:korea/2_274_Q_.jpg,[0.         0.00172519 0.1815519  ... 0.         0.02069368 0.51309615],1,[0.         0.00172519 0.1815519  ... 0.         0.03376438 1.2268422 ],[0.07590738 0.         0.1466729  ... 0.         0.02069368 0.51309615]
1_954_E_,1_954_Q_,../new_data/cut_style:japan/1_954_E_.jpg,../new_data/cut_style:japan/1_954_Q_.jpg,[0.00094429 0.00343915 0.         ... 0.         0.         0.00483872],1,[0.00094429 0.00343915 0.         ... 0.         0.         0.        ],[0.         0.00618275 0.         ... 0.         0.         0.00483872]
13_2179_E_,13_2179_Q_,../new_data/cut_ugly_clothes_pair/13_2179_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2179_Q_.jpg,[0.         0.00778255 0.13227086 ... 0.00366478 0.04815924 0.1384181 ],0,[0.         0.00778255 0.13227086 ... 0.         0.02008527 0.07679984],[0.         0.         0.         ... 0.00366478 0.04815924 0.1384181 ]
0_699_E_,0_699_Q_,../new_data/cut_style:america/0_699_E_.jpg,../new_data/cut_style:america/0_699_Q_.jpg,[0.         0.         0.00670071 ... 0.         0.         0.        ],1,[0.         0.         0.00670071 ... 0.         0.05226161 0.02994957],[0.01051348 0.         0.29246712 ... 0.         0.         0.        ]
13_2214_E_,13_2214_Q_,../new_data/cut_ugly_clothes_pair/13_2214_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2214_Q_.jpg,[0.19726105 0.08438064 0.00613015 ... 0.         0.03198179 0.02577559],0,[0.19726105 0.08438064 0.00613015 ... 0.         0.         0.06300647],[0.3703394  0.         0.         ... 0.         0.03198179 0.02577559]
13_556_E_,13_556_Q_,../new_data/cut_ugly_clothes_pair/13_556_E_.jpg,../new_data/cut_ugly_clothes_pair/13_556_Q_.jpg,[0.07801477 0.01130587 0.32610363 ... 0.08679582 0.05582631 0.05914297],0,[0.07801477 0.01130587 0.32610363 ... 0.         0.16147201 0.33409092],[0.         0.160526   0.19702238 ... 0.08679582 0.05582631 0.05914297]
2_269_E_,2_269_Q_,../new_data/cut_style:korea/2_269_E_.jpg,../new_data/cut_style:korea/2_269_Q_.jpg,[0.00539832 0.3919554  0.         ... 0.04531271 0.         0.        ],1,[0.00539832 0.3919554  0.         ... 0.         0.10379493 0.64760166],[0.00096113 0.         0.         ... 0.04531271 0.         0.        ]
0_361_E_,0_361_Q_,../new_data/cut_style:america/0_361_E_.jpg,../new_data/cut_style:america/0_361_Q_.jpg,[0.         0.         0.19334343 ... 0.         0.03796651 0.0079015 ],1,[0.         0.         0.19334343 ... 0.         0.08201813 0.7767119 ],[0.         0.         0.05111873 ... 0.         0.03796651 0.0079015 ]
0_1057_E_,0_1057_Q_,../new_data/cut_style:america/0_1057_E_.jpg,../new_data/cut_style:america/0_1057_Q_.jpg,[0.         0.         0.0974352  ... 0.         0.00125097 0.006299  ],1,[0.         0.         0.0974352  ... 0.         0.09874921 0.31257233],[0.24255681 0.         0.00595484 ... 0.         0.00125097 0.006299  ]
13_879_E_,13_879_Q_,../new_data/cut_ugly_clothes_pair/13_879_E_.jpg,../new_data/cut_ugly_clothes_pair/13_879_Q_.jpg,[0.         0.         0.2057669  ... 0.0096233  0.02644582 0.00248036],0,[0.         0.         0.2057669  ... 0.         0.         0.05945674],[0.0063301  0.         0.2411809  ... 0.0096233  0.02644582 0.00248036]
1_261_E_,1_261_Q_,../new_data/cut_style:japan/1_261_E_.jpg,../new_data/cut_style:japan/1_261_Q_.jpg,[0.         0.01290174 0.         ... 0.0530902  0.01742906 0.06600659],1,[0.         0.01290174 0.         ... 0.         0.         0.0486264 ],[0.18624686 0.00185553 0.2763106  ... 0.0530902  0.01742906 0.06600659]
2_554_E_,2_554_Q_,../new_data/cut_style:korea/2_554_E_.jpg,../new_data/cut_style:korea/2_554_Q_.jpg,[0.         0.         0.03337543 ... 0.         0.         0.00809543],1,[0.         0.         0.03337543 ... 0.         0.         0.04023157],[0.07761655 0.         0.06659687 ... 0.         0.         0.00809543]
13_636_E_,13_636_Q_,../new_data/cut_ugly_clothes_pair/13_636_E_.jpg,../new_data/cut_ugly_clothes_pair/13_636_Q_.jpg,[0.         0.10564564 0.         ... 0.         0.0935223  0.23690367],0,[0.         0.10564564 0.         ... 0.         0.         0.0063112 ],[0.00555773 0.         0.25635526 ... 0.         0.0935223  0.23690367]
0_678_E_,0_678_Q_,../new_data/cut_style:america/0_678_E_.jpg,../new_data/cut_style:america/0_678_Q_.jpg,[0.         0.00164392 0.00465765 ... 0.         0.00984793 0.01101324],1,[0.         0.00164392 0.00465765 ... 0.00605207 0.         0.2407443 ],[0.         0.         0.12516521 ... 0.         0.00984793 0.01101324]
2_564_E_,2_564_Q_,../new_data/cut_style:korea/2_564_E_.jpg,../new_data/cut_style:korea/2_564_Q_.jpg,[0.00027332 0.         0.20813528 ... 0.21887268 0.         0.00214609],1,[0.00027332 0.         0.20813528 ... 0.01626344 0.00697245 0.00103001],[0.1422335  0.         0.01035263 ... 0.21887268 0.         0.00214609]
2_221_E_,2_221_Q_,../new_data/cut_style:korea/2_221_E_.jpg,../new_data/cut_style:korea/2_221_Q_.jpg,[0.         0.02504944 0.13420236 ... 0.         0.         0.293373  ],1,[0.         0.02504944 0.13420236 ... 0.         0.         0.35320023],[0.00402326 0.         0.51271343 ... 0.         0.         0.293373  ]
0_381_E_,0_381_Q_,../new_data/cut_style:america/0_381_E_.jpg,../new_data/cut_style:america/0_381_Q_.jpg,[0.         0.01335995 0.03448863 ... 0.         0.07322954 0.00492697],1,[0.         0.01335995 0.03448863 ... 0.16746883 0.         0.20110057],[0.         0.         0.         ... 0.         0.07322954 0.00492697]
0_538_E_,0_538_Q_,../new_data/cut_style:america/0_538_E_.jpg,../new_data/cut_style:america/0_538_Q_.jpg,[0.05327891 0.12975433 0.01804622 ... 0.         0.00641552 0.00761829],1,[0.05327891 0.12975433 0.01804622 ... 0.06742934 0.         0.17396927],[0.06545373 0.00392642 0.24676487 ... 0.         0.00641552 0.00761829]
13_2324_E_,13_2324_Q_,../new_data/cut_ugly_clothes_pair/13_2324_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2324_Q_.jpg,[0.06678739 0.06496636 0.24486507 ... 0.01234322 0.06135602 0.31890914],0,[0.06678739 0.06496636 0.24486507 ... 0.11170464 0.01196557 0.07547331],[0.51343083 0.00171294 0.08801854 ... 0.01234322 0.06135602 0.31890914]
13_964_E_,13_964_Q_,../new_data/cut_ugly_clothes_pair/13_964_E_.jpg,../new_data/cut_ugly_clothes_pair/13_964_Q_.jpg,[0.         0.01091413 0.57710457 ... 0.         0.10743429 0.        ],0,[0.         0.01091413 0.57710457 ... 0.         0.         0.5440677 ],"[0.0000000e+00 7.8960147e-04 9.5957839e-01 ... 0.0000000e+00 1.0743429e-01
 0.0000000e+00]"
0_911_E_,0_911_Q_,../new_data/cut_style:america/0_911_E_.jpg,../new_data/cut_style:america/0_911_Q_.jpg,[0.         0.         0.18303078 ... 0.         0.02723677 0.00790234],1,[0.         0.         0.18303078 ... 0.03829514 0.04353143 0.00299487],[0.00011855 0.00157716 0.091011   ... 0.         0.02723677 0.00790234]
2_254_E_,2_254_Q_,../new_data/cut_style:korea/2_254_E_.jpg,../new_data/cut_style:korea/2_254_Q_.jpg,[0.00847171 0.22435105 0.21565059 ... 0.003213   0.00512551 0.0937378 ],1,[0.00847171 0.22435105 0.21565059 ... 0.00187518 0.47836468 0.51617604],[0.4697084  0.         0.545737   ... 0.003213   0.00512551 0.0937378 ]
1_662_E_,1_662_Q_,../new_data/cut_style:japan/1_662_E_.jpg,../new_data/cut_style:japan/1_662_Q_.jpg,[0.09137157 0.00108408 0.4847356  ... 0.         0.         0.00294427],1,[0.09137157 0.00108408 0.4847356  ... 0.00998612 0.04351203 0.06046852],[0.         0.         0.         ... 0.         0.         0.00294427]
0_200_E_,0_200_Q_,../new_data/cut_style:america/0_200_E_.jpg,../new_data/cut_style:america/0_200_Q_.jpg,[0.04811504 0.         0.21675314 ... 0.         0.19582103 0.06005065],1,[0.04811504 0.         0.21675314 ... 0.         0.03167086 0.01954021],[0.         0.         0.0150118  ... 0.         0.19582103 0.06005065]
1_165_E_,1_165_Q_,../new_data/cut_style:japan/1_165_E_.jpg,../new_data/cut_style:japan/1_165_Q_.jpg,[0.         0.         0.06031549 ... 0.08775027 0.         0.01276958],1,[0.         0.         0.06031549 ... 0.137868   0.15529859 0.        ],[0.36660874 0.         0.35530913 ... 0.08775027 0.         0.01276958]
0_281_E_,0_281_Q_,../new_data/cut_style:america/0_281_E_.jpg,../new_data/cut_style:america/0_281_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.01835465],1,[0.         0.         0.         ... 0.46333563 0.16424297 0.10573881],[0.1298084  0.         0.07942723 ... 0.         0.         0.01835465]
1_444_E_,1_444_Q_,../new_data/cut_style:japan/1_444_E_.jpg,../new_data/cut_style:japan/1_444_Q_.jpg,[0.         0.17405598 0.06963092 ... 0.         0.0082097  0.04228749],1,[0.         0.17405598 0.06963092 ... 0.         0.04693072 0.7171267 ],[0.05627164 0.         0.09875646 ... 0.         0.0082097  0.04228749]
0_330_E_,0_330_Q_,../new_data/cut_style:america/0_330_E_.jpg,../new_data/cut_style:america/0_330_Q_.jpg,[0.00504836 0.03731155 0.03076109 ... 0.         0.01745982 0.02048716],1,[0.00504836 0.03731155 0.03076109 ... 0.         0.01362526 0.62648314],[0.         0.         0.00125367 ... 0.         0.01745982 0.02048716]
2_680_E_,2_680_Q_,../new_data/cut_style:korea/2_680_E_.jpg,../new_data/cut_style:korea/2_680_Q_.jpg,[0.         0.00035826 0.03736115 ... 0.         0.01354402 0.06192254],1,[0.         0.00035826 0.03736115 ... 0.         0.02401192 0.3297473 ],[0.06182468 0.01521121 0.01535767 ... 0.         0.01354402 0.06192254]
1_583_E_,1_583_Q_,../new_data/cut_style:japan/1_583_E_.jpg,../new_data/cut_style:japan/1_583_Q_.jpg,[0.         0.00244158 0.14391403 ... 0.0005574  0.         0.12516439],1,[0.         0.00244158 0.14391403 ... 0.0130963  0.         0.        ],[0.00731378 0.         0.00762787 ... 0.0005574  0.         0.12516439]
2_847_E_,2_847_Q_,../new_data/cut_style:korea/2_847_E_.jpg,../new_data/cut_style:korea/2_847_Q_.jpg,"[5.5318984e-04 2.4497686e-02 3.6603782e-01 ... 0.0000000e+00 0.0000000e+00
 5.5597728e-01]",1,[0.00055319 0.02449769 0.36603782 ... 0.         0.00279167 0.09935062],[0.28129783 0.03922744 0.09178784 ... 0.         0.         0.5559773 ]
1_279_E_,1_279_Q_,../new_data/cut_style:japan/1_279_E_.jpg,../new_data/cut_style:japan/1_279_Q_.jpg,[0.         0.01135406 0.00699866 ... 0.         0.00516487 0.00842549],1,[0.         0.01135406 0.00699866 ... 0.06129812 0.         0.05439739],[0.18085551 0.         0.08442481 ... 0.         0.00516487 0.00842549]
2_75_E_,2_75_Q_,../new_data/cut_style:korea/2_75_E_.jpg,../new_data/cut_style:korea/2_75_Q_.jpg,[0.2659234  0.06741547 0.         ... 0.         0.00233936 0.02111037],1,[0.2659234  0.06741547 0.         ... 0.         0.0032271  0.2538738 ],[0.20596588 0.         0.05834308 ... 0.         0.00233936 0.02111037]
